"goal","raised","backers","comments","parentCat","lat","lon"
2000,0,0,0,"Art",38.647,-90.225
6000,378,9,1,"Comics",37.4304,-83.998
30000,765,15,0,"Publishing",38.6773,-87.5286
635,2204,40,8,"Games",43.9276,-69.9759
1000,195,8,0,"Publishing",39.9523,-75.1638
3000,5352,72,4,"Music",30.2672,-97.7431
550,860,33,8,"Music",34.0522,-118.244
2500,3453.45,28,2,"Film & Video",39.0997,-94.5786
3000,3325,37,0,"Publishing",47.6062,-122.332
12000,12197,114,0,"Theater",40.7143,-74.006
12300,12401,35,18,"Games",34.0522,-118.244
8000,9207.99,148,49,"Comics",40.7608,-111.891
8800,10610,187,8,"Art",20.9175,-156.326
8000,10591,247,2,"Publishing",40.65,-73.95
2200,5265,116,8,"Comics",39.9523,-75.1638
2500,1240,22,0,"Design",42.6389,-83.291
10000,18769.77,166,5,"Publishing",32.2217,-110.926
3000,66,9,0,"Games",39.9523,-75.1638
2500,978,17,2,"Art",42.3584,-71.0598
3000,3454,66,4,"Technology",42.7284,-73.6918
5000,100,1,0,"Music",42.0051,-74.266
15000,856,19,0,"Publishing",33.1626,-96.9375
27500,19280.5,284,10,"Technology",-36.8485,174.763
2900,5070,85,0,"Publishing",34.0522,-118.244
30000,9296,43,1,"Music",38.9667,-94.6169
48000,3446,59,6,"Games",40.7454,-73.9054
75000,11818,199,5,"Film & Video",40.65,-73.95
3200,844,26,0,"Music",34.0522,-118.244
12000,12624,169,10,"Publishing",42.4668,-70.9495
187545,11343,184,7,"Design",30.2672,-97.7431
4500,2587,64,60,"Comics",39.0997,-94.5786
6500,4900,93,0,"Publishing",35.9132,-79.0558
4000,3566,61,5,"Technology",40.2338,-111.659
35000,16146.01,118,0,"Film & Video",34.0522,-118.244
40000,28230.74,1428,52,"Games",51.3814,-2.35745
20000,105947.94,2655,54,"Fashion",40.65,-73.95
23000,99047.05,2703,196,"Games",38.9284,-77.056
6000,8861,234,12,"Publishing",30.2672,-97.7431
100000,115275.45,2974,221,"Games",51.2772,-0.610235
3000,3635,180,17,"Games",40.5492,-82.8274
5000,270,8,3,"Film & Video",39.9523,-75.1638
500,0,0,0,"Dance",39.7392,-104.985
400000,268985.65,3966,212,"Film & Video",33.9908,-118.46
15000,29023.66,534,46,"Film & Video",48.7596,-122.488
5000,462,14,15,"Games",34.0522,-118.244
100,370,13,4,"Art",33.4484,-112.074
55000,6246,30,1,"Film & Video",47.6062,-122.332
4000,3322,52,0,"Publishing",40.65,-73.95
2500,2513,34,3,"Music",40.3162,-74.5138
3250,105099,757,4260,"Games",39.7684,-86.158
5000,5117,58,3,"Film & Video",25.3097,82.9886
5000,6600.01,40,14,"Design",38.9284,-77.056
15000,18361.89,126,2,"Film & Video",22.5726,88.3639
2500,2900,35,2,"Music",43.0731,-89.4012
1250,1375,16,4,"Film & Video",42.0411,-87.6901
1500,4077,74,36,"Comics",34.7541,-77.4302
30000,12583.94,160,2,"Film & Video",34.0522,-118.244
6200,1105,9,0,"Art",51.1781,-115.572
10000,0,0,0,"Film & Video",12.9716,77.5944
1000,30,2,0,"Publishing",39.7458,-75.5467
10000,22113.83,336,39,"Games",47.6062,-122.332
2000,1140,43,1,"Music",48.7596,-122.488
2000,3257,38,1,"Music",47.6062,-122.332
